"feat_name","fi"
saldo_medio_actual_buckets,0.10876718
var_12m_buckets,0.08548627
variacion_saldo_trimestral_num_buckets,0.07744353
cap_ahorro_total_actual_buckets,0.06661982
variacion_saldo_12m_num_buckets,0.061559036
edad_buckets,0.060605828
var_gastos_transferencia_mes_actual_trim_anterior_buckets,0.05888169
ingresos_financieros_promedio_trim_anterior_buckets,0.0588335
var_cap_ahorro_dura_mes_actual_trim_anterior_buckets,0.056674387
vinc_saldos_nuevo_buckets,0.045929752
ingresos_efectivo_actual_buckets,0.042539753
var_gastos_consumo_mes_actual_trim_anterior_buckets,0.039892633
nuevo_nivel_mod,0.039578073
ingreso_total_actual_buckets,0.039405372
contador_sube_buckets,0.0383604
gasto_total_actual_buckets,0.032575503
ingresos_duros_actual_buckets,0.03176509
variacion_saldo_semestral_num_buckets,0.030623807
var_gastos_financieros_trim_actual_anterior_buckets,0.024458377
