"feat_name","fi"
nuevo_nivel_mod,0.051244337
edad_buckets,0.06265361
cap_ahorro_total_actual_buckets,0.06483151
ingresos_efectivo_actual_buckets,0.057899483
var_gastos_consumo_mes_actual_trim_anterior_buckets,0.0322901
ingresos_financieros_promedio_trim_anterior_buckets,0.055713844
ingresos_duros_actual_buckets,0.03262642
vinc_saldos_nuevo_buckets,0.05355096
var_12m_buckets,0.069241166
variacion_saldo_semestral_num_buckets,0.024165105
var_gastos_transferencia_mes_actual_trim_anterior_buckets,0.058710564
contador_sube_buckets,0.06539156
saldo_medio_actual_buckets,0.08583293
var_gastos_financieros_trim_actual_anterior_buckets,0.033663318
var_cap_ahorro_dura_mes_actual_trim_anterior_buckets,0.038273197
ingreso_total_actual_buckets,0.065432705
gasto_total_actual_buckets,0.036926642
variacion_saldo_trimestral_num_buckets,0.059661973
variacion_saldo_12m_num_buckets,0.051890574
