"metric","value","dataset"
KS_Value,0.30711301044634376,OOT_202201_202202_1
KS_Value,0.2628833584715938,OOT_202201_202202_2
KS_Value,0.2947730925244845,OOT_202201_202202_3
KS_Value,0.30026010767789096,OOT_202201_202202_4
KS_Value,0.2526681177069763,OOT_202201_202202_5
KS_Value,0.4414414414414415,OOT_202211_202212_1
KS_Value,0.27673017806444156,OOT_202211_202212_2
KS_Value,0.30224609303735706,OOT_202211_202212_3
KS_Value,0.31581214825233467,OOT_202211_202212_4
KS_Value,0.23272932449820755,OOT_202211_202212_5
KS_Value,0.42516147867021853,OOT_202301_202302_1
KS_Value,0.2861991562956024,OOT_202301_202302_2
KS_Value,0.3021240419004377,OOT_202301_202302_3
KS_Value,0.3140280985197879,OOT_202301_202302_4
KS_Value,0.2034362714353936,OOT_202301_202302_5
KS_Value,0.3000846984208377,OOT_202201_202202
KS_Value,0.31656382666514815,OOT_202211_202212
KS_Value,0.31425787240623493,OOT_202301_202302
