"metric","oot_202201_202202_1","dataset"
True positive,113.0,OOT_202201_202202_1
True negative,592.0,OOT_202201_202202_1
False positive,56.0,OOT_202201_202202_1
False negative,212.0,OOT_202201_202202_1
Recall,0.3476923076923077,OOT_202201_202202_1
Precision,0.6686390532544378,OOT_202201_202202_1
AUC,0.707167616334283,OOT_202201_202202_1
AU Precision Recall,0.7071676163342828,OOT_202201_202202_1
True positive,218.0,OOT_202201_202202_2
True negative,3809.0,OOT_202201_202202_2
False positive,169.0,OOT_202201_202202_2
False negative,1006.0,OOT_202201_202202_2
Recall,0.1781045751633987,OOT_202201_202202_2
Precision,0.5633074935400517,OOT_202201_202202_2
AUC,0.6749754367978127,OOT_202201_202202_2
AU Precision Recall,0.6749754367978131,OOT_202201_202202_2
True positive,2176.0,OOT_202201_202202_3
True negative,39272.0,OOT_202201_202202_3
False positive,1726.0,OOT_202201_202202_3
False negative,10132.0,OOT_202201_202202_3
Recall,0.17679558011049723,OOT_202201_202202_3
Precision,0.557662737057919,OOT_202201_202202_3
AUC,0.6968269766894786,OOT_202201_202202_3
AU Precision Recall,0.6968269766894782,OOT_202201_202202_3
True positive,16636.0,OOT_202201_202202_4
True negative,177812.0,OOT_202201_202202_4
False positive,10489.0,OOT_202201_202202_4
False negative,57455.0,OOT_202201_202202_4
Recall,0.22453469382246158,OOT_202201_202202_4
Precision,0.6133087557603687,OOT_202201_202202_4
AUC,0.7066382657267403,OOT_202201_202202_4
AU Precision Recall,0.7066382657267404,OOT_202201_202202_4
True positive,218.0,OOT_202201_202202_5
True negative,4964.0,OOT_202201_202202_5
False positive,162.0,OOT_202201_202202_5
False negative,1151.0,OOT_202201_202202_5
Recall,0.15924032140248356,OOT_202201_202202_5
Precision,0.5736842105263158,OOT_202201_202202_5
AUC,0.6717965843647318,OOT_202201_202202_5
AU Precision Recall,0.6717965843647316,OOT_202201_202202_5
True positive,208.0,OOT_202211_202212_1
True negative,598.0,OOT_202211_202212_1
False positive,68.0,OOT_202211_202212_1
False negative,236.0,OOT_202211_202212_1
Recall,0.46846846846846846,OOT_202211_202212_1
Precision,0.7536231884057971,OOT_202211_202212_1
AUC,0.7586606877147418,OOT_202211_202212_1
AU Precision Recall,0.7586606877147417,OOT_202211_202212_1
True positive,219.0,OOT_202211_202212_2
True negative,4225.0,OOT_202211_202212_2
