"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202301,F,INSTITUCIONES,Inactivos,993278.5153198242,993278.5153198242,0.0,6
202402,F,PARTICULARES,B,93270300362.34547,55574652083.24347,37695648295.80063,2201341
202303,F,PARTICULARES,Sin Categoria,812.719970703125,812.719970703125,0.0,1
202308,F,WEALTH MANAGEMENT,B,4063461776.196315,805479087.3259299,3257982685.368519,2275
202302,F,INSTITUCIONES,Inactivos,779078.9760742188,779078.9760742188,0.0,6
202403,F,PARTICULARES,B,96644653392.12093,57408037540.339905,39236615832.49791,2315136
202304,F,PARTICULARES,Sin Categoria,687.280029296875,687.280029296875,0.0,1
202309,F,WEALTH MANAGEMENT,B,4169975995.9635706,916751080.6084569,3253224916.385475,2264
202303,F,INSTITUCIONES,Inactivos,538879.2093505859,538879.2093505859,0.0,6
202404,F,PARTICULARES,B,97779394946.87312,57750788924.35294,40028606024.7652,2335426
202305,F,PARTICULARES,Sin Categoria,456239.9312438965,399465.7437438965,56774.19140625,3
202310,F,WEALTH MANAGEMENT,B,4042063115.9376583,865272418.5754485,3176790712.138813,2287
202304,F,INSTITUCIONES,Inactivos,438753.56158447266,438753.56158447266,0.0,6
202306,F,PARTICULARES,Sin Categoria,455003.5363006592,455003.5363006592,0.0,35
202311,F,WEALTH MANAGEMENT,B,4132585585.0188556,985849980.3896618,3146735614.1373835,2368
202305,F,INSTITUCIONES,Inactivos,792577.957824707,792577.957824707,0.0,6
202307,F,PARTICULARES,Sin Categoria,645021.0436573029,645021.0436573029,0.0,43
202312,F,WEALTH MANAGEMENT,B,4043479681.8789635,994043281.2301002,3049436393.183014,2442
202306,F,INSTITUCIONES,Inactivos,438137.7414550781,438137.7414550781,0.0,6
202308,F,PARTICULARES,Sin Categoria,2436228.462887764,2429131.689450264,7096.77001953125,105
202307,F,INSTITUCIONES,Inactivos,784053.1954345703,784053.1954345703,0.0,6
202309,F,PARTICULARES,Sin Categoria,4652018.379391918,4421599.34130598,230419.03271484375,193
202308,F,INSTITUCIONES,Inactivos,467068.35217285156,467068.35217285156,0.0,6
202301,F,PARTICULARES,A,27539396685.615433,20747251799.85609,6792144883.185202,1707145
202310,F,PARTICULARES,Sin Categoria,5960151.708759427,5735156.466083646,224995.25732421875,260
202309,F,INSTITUCIONES,Inactivos,814886.6806182861,814886.6806182861,0.0,6
202302,F,PARTICULARES,A,30515045822.671124,22038958738.162342,8476087085.470892,1799639
202301,F,PARTICULARES,Inactivos,179189699.64399347,177996651.48904258,1193048.1439558268,967801
202311,F,PARTICULARES,Sin Categoria,6068317.466539741,5852559.463487983,215757.9931640625,289
202310,F,INSTITUCIONES,Inactivos,788286.7847900391,788286.7847900391,0.0,6
202303,F,PARTICULARES,A,32983525525.745667,24590004454.80501,8393521074.195927,2071439
202302,F,PARTICULARES,Inactivos,195290510.24926382,184278154.42766184,11012355.974274278,921369
202312,F,PARTICULARES,Sin Categoria,7315589.295537004,7141775.328740129,173813.96752929688,303
202311,F,INSTITUCIONES,Inactivos,747457.5406188965,747457.5406188965,0.0,6
202304,F,PARTICULARES,A,32246715438.972622,23809642596.0834,8437072838.7348995,2019576
202303,F,PARTICULARES,Inactivos,224943260.67737308,196254172.4598801,28689088.171218038,950348
202312,F,INSTITUCIONES,Inactivos,1221515.8691253662,1221515.8691253662,0.0,6
202305,F,PARTICULARES,A,32850092262.15129,24462621028.315292,8387471232.652205,2025158
202304,F,PARTICULARES,Inactivos,196345490.3286501,144381567.350596,51963922.56813204,936677
202306,F,PARTICULARES,A,33096597979.434425,24266381444.496597,8830216536.538847,2069933
202305,F,PARTICULARES,Inactivos,122693448.41826789,122266849.41890086,426598.9999996424,930676
202307,F,PARTICULARES,A,32243114374.009842,23940269334.22479,8302845034.8962965,2019034
202306,F,PARTICULARES,Inactivos,124461016.75993559,123999856.78934947,461159.97053158283,891651
202308,F,PARTICULARES,A,32163431271.75163,23617776524.868195,8545654741.199297,2116188
202307,F,PARTICULARES,Inactivos,124318308.33860472,123865701.30809622,452607.03022027016,928094
202309,F,PARTICULARES,A,34317081877.951286,25102778679.753742,9214303215.497673,2170434
202308,F,PARTICULARES,Inactivos,124345296.29173578,123873359.78205468,471936.50901150703,892094
202310,F,PARTICULARES,A,33948785056.404083,24786882939.22395,9161902117.932594,2237155
202309,F,PARTICULARES,Inactivos,122769335.38611074,122241980.7367296,527354.647547245,912727
202401,F,WEALTH MANAGEMENT,D,3966688699.8890395,1190769129.344648,2775919552.6213055,2321
202311,F,PARTICULARES,A,32581870376.509148,23659296319.45424,8922574053.082603,2073158
202310,F,PARTICULARES,Inactivos,122488832.67088503,121835797.84328991,653034.8420797586,892825
202402,F,WEALTH MANAGEMENT,D,4851117072.918388,1184224666.8893404,3666892426.873741,2956
202312,F,PARTICULARES,A,26221476951.05189,19488079535.281,6733397416.373071,1482746
202311,F,PARTICULARES,Inactivos,344103930.09869057,127335186.99409539,216768743.23092997,897222
202403,F,WEALTH MANAGEMENT,D,4476015160.927822,1244322492.0587404,3231692629.787883,2780
202312,F,PARTICULARES,Inactivos,125897313.0629319,125411112.35384692,486200.710131377,959066
202404,F,WEALTH MANAGEMENT,D,3028236612.69149,1155222868.2375631,1873013756.5653734,2617
202301,F,WEALTH MANAGEMENT,C,4333163733.039555,685157523.7953417,3648006209.781719,2159
202401,F,RESTO,Inactivos,27828074.644263983,14407997.856366644,13420076.751953125,252
202302,F,WEALTH MANAGEMENT,C,5453795359.756703,685510033.7626151,4768285299.859089,2265
202402,F,RESTO,Inactivos,25907404.46716179,12226222.408201829,13681182.4765625,248
202303,F,WEALTH MANAGEMENT,C,5154914369.075315,690268075.1198753,4464646267.2173,2377
202403,F,RESTO,Inactivos,26564516.528136015,13238348.005186796,13326168.4296875,248
202304,F,WEALTH MANAGEMENT,C,4909485938.099777,722247226.9931535,4187238684.8730392,2372
202404,F,RESTO,Inactivos,27391986.473988175,13623880.91295302,13768105.685546875,252
202305,F,WEALTH MANAGEMENT,C,4887432441.934248,725267616.9572268,4162164839.1216316,2416
202401,F,EMPRESAS,Inactivos,1876377924.6610487,827157164.253578,1049220758.4091797,466
202301,F,PYMES,Inactivos,12325709984.530926,11086968200.53851,1238741777.8351145,78632
202306,F,WEALTH MANAGEMENT,C,5151294953.777007,687083578.3061683,4464211349.898651,2342
202402,F,EMPRESAS,Inactivos,1840650542.398395,752224755.6806217,1088425774.3769531,465
202401,F,PARTICULARES,C,101720809416.75024,55885019918.12202,45835789490.36325,2296196
202302,F,PYMES,Inactivos,12306437772.583038,10982527035.035482,1323910736.0815516,78783
202307,F,WEALTH MANAGEMENT,C,4206626963.359738,601939135.0781428,3604687784.399084,2359
202403,F,EMPRESAS,Inactivos,2237682347.2300634,774232196.0156469,1463450132.4895477,473
202402,F,PARTICULARES,C,101843942515.6964,53324356346.98998,48519586146.04642,2321757
202303,F,PYMES,Inactivos,12366328959.840158,11019828805.833267,1346500155.0327463,79895
202308,F,WEALTH MANAGEMENT,C,4654447565.912359,740844127.0448295,3913603448.0432854,2393
202404,F,EMPRESAS,Inactivos,1968533749.6147385,789630288.7050705,1178903454.6640625,471
202403,F,PARTICULARES,C,105094325001.92036,56094708294.9117,48999616684.196686,2266149
202304,F,PYMES,Inactivos,12508057679.210808,11099629422.468302,1408428259.3165026,80438
202309,F,WEALTH MANAGEMENT,C,4408327225.623236,636427715.3700113,3771899516.7278976,2334
202404,F,PARTICULARES,C,102917464979.03285,53591557606.60805,49325907345.69326,2246831
202305,F,PYMES,Inactivos,12695997028.465178,11271039253.942326,1424957772.3365855,81644
202310,F,WEALTH MANAGEMENT,C,4945640492.629324,759153557.0802882,4186486971.6340485,2474
202306,F,PYMES,Inactivos,12651015707.944141,11246798670.95636,1404217039.1126413,82167
202311,F,WEALTH MANAGEMENT,C,4795542416.282019,638942967.7699519,4156599439.397238,2413
202307,F,PYMES,Inactivos,12835634768.389826,11393412778.225096,1442221994.61195,83351
202312,F,WEALTH MANAGEMENT,C,3593188034.4922724,886293006.2236979,2706895019.3113346,2486
202308,F,PYMES,Inactivos,13214634702.869421,11769402785.377083,1445231922.94215,84088
202309,F,PYMES,Inactivos,13090179721.395107,11581918709.504782,1508261013.5224752,85036
202301,F,PARTICULARES,B,81715660246.00623,55776006576.39642,25939653647.347473,2066884
202310,F,PYMES,Inactivos,13428113440.385815,11794595707.373178,1633517732.6667194,86507
