"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202301,F,INSTITUCIONES,Inactivos,993278.5153198242,993278.5153198242,0.0,6
202402,F,PARTICULARES,B,75280925157.63103,48413344060.469666,26867581079.771427,2138256
202303,F,PARTICULARES,Sin Categoria,812.719970703125,812.719970703125,0.0,1
202308,F,WEALTH MANAGEMENT,B,3659063517.3532047,813635094.0269091,2845428413.0637274,2226
202302,F,INSTITUCIONES,Inactivos,779078.9760742188,779078.9760742188,0.0,6
202403,F,PARTICULARES,B,80136955051.2158,51917285977.03623,28219669060.292015,2268835
202304,F,PARTICULARES,Sin Categoria,687.280029296875,687.280029296875,0.0,1
202309,F,WEALTH MANAGEMENT,B,4186253318.9814353,608224483.5761807,3578028841.0398903,2138
202303,F,INSTITUCIONES,Inactivos,538879.2093505859,538879.2093505859,0.0,6
202404,F,PARTICULARES,B,85019908785.45789,55008764155.22016,30011144632.457462,2293174
202305,F,PARTICULARES,Sin Categoria,456239.9312438965,399465.7437438965,56774.19140625,3
202310,F,WEALTH MANAGEMENT,B,3420354033.024704,801872588.0816405,2618481453.5292473,2305
202304,F,INSTITUCIONES,Inactivos,438753.56158447266,438753.56158447266,0.0,6
202306,F,PARTICULARES,Sin Categoria,455003.5363006592,455003.5363006592,0.0,35
202311,F,WEALTH MANAGEMENT,B,3419250954.981816,698082091.6394492,2721168866.157241,2377
202305,F,INSTITUCIONES,Inactivos,792577.957824707,792577.957824707,0.0,6
202307,F,PARTICULARES,Sin Categoria,645021.0436573029,645021.0436573029,0.0,43
202312,F,WEALTH MANAGEMENT,B,4026372476.951966,871366882.3071172,3155005594.4494915,2384
202306,F,INSTITUCIONES,Inactivos,438137.7414550781,438137.7414550781,0.0,6
202308,F,PARTICULARES,Sin Categoria,2436228.462887764,2429131.689450264,7096.77001953125,105
202307,F,INSTITUCIONES,Inactivos,784053.1954345703,784053.1954345703,0.0,6
202309,F,PARTICULARES,Sin Categoria,4652018.379391918,4421599.34130598,230419.03271484375,193
202308,F,INSTITUCIONES,Inactivos,467068.35217285156,467068.35217285156,0.0,6
202301,F,PARTICULARES,A,35625983097.58517,24278512090.884083,11347471009.524569,1701907
202310,F,PARTICULARES,Sin Categoria,5960151.708759427,5735156.466083646,224995.25732421875,260
202309,F,INSTITUCIONES,Inactivos,814886.6806182861,814886.6806182861,0.0,6
