"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202301,J,EMPRESAS,A,34137958592.431602,23094978069.20524,11042980506.150213,7368
202305,J,EMPRESAS,A,34100983383.069622,20869976773.517178,13231006535.807882,7608
202309,J,EMPRESAS,A,35716859887.80516,24229276740.8933,11487582984.211267,7953
202401,J,EMPRESAS,A,35634270708.2304,22007529243.370422,13626741531.243032,7702
202302,J,EMPRESAS,B,42797427553.68507,27989524758.54629,14807902713.17355,7624
202306,J,EMPRESAS,B,39412994783.52075,25174614441.49485,14238380340.85226,7475
202310,J,EMPRESAS,B,47790478607.93435,29745554522.659233,18044923828.292175,7565
202402,J,EMPRESAS,B,50959168763.617035,32659411915.095688,18299756778.174503,7788
202303,J,EMPRESAS,C,22518069589.772835,15016721183.20214,7501348388.361771,6558
202307,J,EMPRESAS,C,19337224039.79444,13190302801.808807,6146921308.936356,6548
202311,J,EMPRESAS,C,20497984625.840733,15113711291.886967,5384273370.370712,6567
202403,J,EMPRESAS,C,18811706787.487617,14288714280.87996,4522992458.358639,6356
202304,J,EMPRESAS,D,53425881591.10538,34862109542.91213,18563772094.01259,6536
202308,J,EMPRESAS,D,59453653733.95531,43563129503.38083,15890524199.587296,6711
202312,J,EMPRESAS,D,58246044994.78633,42128132640.25844,16117912490.977165,7554
202404,J,EMPRESAS,D,48722753945.69567,36837489606.4891,11885264358.63379,6822
202302,J,EMPRESAS,Inactivos,76603277.5562832,75962801.37192652,640476.1843566895,513
202306,J,EMPRESAS,Inactivos,49472079.231796995,48825760.00935437,646319.222442627,474
202310,J,EMPRESAS,Inactivos,22985212.682758138,22967351.732288167,17860.950469970703,407
202402,J,EMPRESAS,Inactivos,15467934.363409242,15449906.203954896,18028.159454345703,365
202304,J,GLOBAL TRANSACTION BANKING,A,22487749272.54956,16544919370.821533,5942830024.469727,800
202308,J,GLOBAL TRANSACTION BANKING,A,19875130534.583,15997353782.329962,3877776716.9089355,900
202312,J,GLOBAL TRANSACTION BANKING,A,19342184823.239388,13324760010.539986,6017424859.650085,925
202404,J,GLOBAL TRANSACTION BANKING,A,17736412571.488037,13900514400.223665,3835898191.762909,1034
202301,J,GLOBAL TRANSACTION BANKING,B,28052759847.976933,19995361666.74207,8057398272.287598,834
202305,J,GLOBAL TRANSACTION BANKING,B,23717088816.844223,20123846887.030586,3593241905.40625,851
202309,J,GLOBAL TRANSACTION BANKING,B,22336578195.635166,17487282814.74317,4849295444.430084,838
202401,J,GLOBAL TRANSACTION BANKING,B,24282030207.752724,15569441273.66772,8712588714.253906,785
202302,J,GLOBAL TRANSACTION BANKING,C,10079489487.901651,8585937939.519084,1493551565.15625,806
202306,J,GLOBAL TRANSACTION BANKING,C,10687918814.86937,9733694417.643265,954224386.5537415,656
202310,J,GLOBAL TRANSACTION BANKING,C,10191654899.362654,9229210799.060349,962444110.9199219,655
202402,J,GLOBAL TRANSACTION BANKING,C,10609855388.104458,7755033366.493129,2854822029.671875,635
202303,J,GLOBAL TRANSACTION BANKING,D,21518344896.649567,17021756076.750154,4496588853.494507,736
202307,J,GLOBAL TRANSACTION BANKING,D,29291738909.038074,24091440056.335407,5200298956.730225,692
