"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202301,J,EMPRESAS,A,34132581976.32794,23059130756.859047,11073451259.344477,7364
202305,J,EMPRESAS,A,32984378086.078793,21557954675.999073,11426423352.439718,7693
202309,J,EMPRESAS,A,36244950706.73843,23720904472.787537,12524045996.151796,7962
202401,J,EMPRESAS,A,36085626090.05764,22283097156.07765,13802529045.657106,7598
202302,J,EMPRESAS,B,42937609191.69759,24436456696.464172,18501152502.00704,7358
202306,J,EMPRESAS,B,39260242432.71069,25387193011.38611,13873049401.97583,7480
202310,J,EMPRESAS,B,41836202071.60875,26164808340.2564,15671393630.898375,7402
202402,J,EMPRESAS,B,44977131046.274414,27304750972.879562,17672379992.41047,7607
202303,J,EMPRESAS,C,27989743019.58516,15977082423.183605,12012660510.731747,6848
202307,J,EMPRESAS,C,28414815628.968998,19845799889.26917,8569015796.960506,6586
202311,J,EMPRESAS,C,27687139469.732655,22081753749.308064,5605385820.499484,6857
202403,J,EMPRESAS,C,26927803441.77557,20190630039.306034,6737173325.33523,6685
202304,J,EMPRESAS,D,55411774422.803795,35030263880.043915,20381510618.093056,6501
202308,J,EMPRESAS,D,55326652980.77464,39475212171.17455,15851440778.5537,6684
202312,J,EMPRESAS,D,54973240899.98026,39685220567.90187,15288020503.156796,7257
202404,J,EMPRESAS,D,44355238994.40677,34025023591.090626,10330215504.263672,6687
202302,J,EMPRESAS,Inactivos,76603277.5562832,75962801.37192652,640476.1843566895,513
202306,J,EMPRESAS,Inactivos,49472079.231796995,48825760.00935437,646319.222442627,474
202310,J,EMPRESAS,Inactivos,22985212.682758145,22967351.732288174,17860.950469970703,407
202402,J,EMPRESAS,Inactivos,15467934.363409242,15449906.203954896,18028.159454345703,365
202304,J,GLOBAL TRANSACTION BANKING,A,22237847361.7218,17083046406.595335,5154801056.063477,763
202308,J,GLOBAL TRANSACTION BANKING,A,16708753497.127747,14362894054.223343,2345859375.916748,882
202312,J,GLOBAL TRANSACTION BANKING,A,12894754316.098377,9251511297.455128,3643242979.782898,873
202404,J,GLOBAL TRANSACTION BANKING,A,14960684769.994507,10126970141.87711,4833714600.104706,924
202301,J,GLOBAL TRANSACTION BANKING,B,21934163156.36299,17587370367.47812,4346792877.55127,743
202305,J,GLOBAL TRANSACTION BANKING,B,27429223149.646217,18482968036.37571,8946255229.476562,837
202309,J,GLOBAL TRANSACTION BANKING,B,20295210439.587006,15329042735.272154,4966167761.197662,857
202401,J,GLOBAL TRANSACTION BANKING,B,22133029340.381836,13556381371.835274,8576647777.603516,719
202302,J,GLOBAL TRANSACTION BANKING,C,17247739871.74334,13408454068.190697,3839285756.697174,835
202306,J,GLOBAL TRANSACTION BANKING,C,15000875288.041977,13557904073.353989,1442971218.8076172,698
202310,J,GLOBAL TRANSACTION BANKING,C,15859085183.755611,10909944837.756664,4949140247.802734,640
202402,J,GLOBAL TRANSACTION BANKING,C,18442230692.40899,16516592382.612114,1925638287.28125,647
202303,J,GLOBAL TRANSACTION BANKING,D,25577453510.540047,21756645634.905647,3820807866.84375,693
202307,J,GLOBAL TRANSACTION BANKING,D,28881027922.111515,24592269402.06464,4288758608.375,700
202311,J,GLOBAL TRANSACTION BANKING,D,31072714506.269608,25572787586.33406,5499926963.652344,614
202403,J,GLOBAL TRANSACTION BANKING,D,23154193773.350025,15973559447.355444,7180634477.6640625,682
202301,J,GLOBAL TRANSACTION BANKING,Inactivos,34298.71875,34298.71875,0.0,1
202305,J,GLOBAL TRANSACTION BANKING,Inactivos,32674.720703125,32674.720703125,0.0,1
202309,J,GLOBAL TRANSACTION BANKING,Inactivos,30108.75,30108.75,0.0,1
202401,J,GLOBAL TRANSACTION BANKING,Inactivos,30506.720703125,30506.720703125,0.0,1
202304,J,INSTITUCIONES,A,39322767058.17681,33337476780.90622,5985290232.220276,1392
202308,J,INSTITUCIONES,A,43329361936.984344,37424630158.27348,5904731620.630035,1412
202312,J,INSTITUCIONES,A,34864881114.00911,29873578187.788925,4991302887.203308,1229
202404,J,INSTITUCIONES,A,44354420594.9481,39523586178.11492,4830834342.298767,1409
